post_id,title,category,author,score,num_comments
47724352,Filing the corners off my MacBooks,entertainment,normanvalentine,1398,672
47762864,Backblaze has stopped backing up your data,technology,rrreese,645,387
47708818,Native Instant Space Switching on macOS,science,paulhoule,642,326
47704804,How NASA built Artemis II’s fault-tolerant computer,science,speckx,638,235
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,iceberger2001,625,152
47733217,Exploiting the most prominent AI agent benchmarks,technology,anon84,581,140
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,a-ve,510,293
47728653,"France's government is ditching Windows for Linux, says US tech a strategic risk",worldnews,pabs3,506,301
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,entertainment,vidluther,497,272
47750872,Servo is now available on crates.io,technology,ffin,462,147
